class	dropped_lines	file	detail
GENUINE	0	src/auto-reply/types.ts	-
GENUINE	0	src/cli/config-cli.test.ts	-
GENUINE	0	src/cli/daemon-cli/install.integration.test.ts	-
GENUINE	0	src/cli/daemon-cli/install.test.ts	-
GENUINE	0	src/cli/daemon-cli/lifecycle-core.config-guard.test.ts	-
MIXED-CLOBBER	4	src/cli/gateway-cli/run.option-collisions.test.ts	bbb744269fc test: make the local pnpm test gate green on m
GENUINE	0	src/cli/logs-cli.test.ts	-
GENUINE	0	src/cli/program/register.agent.test.ts	-
GENUINE	0	src/cli/update-cli.test.ts	-
MIXED-CLOBBER	4	src/commands/configure.commands.ts	?
GENUINE	0	src/commands/doctor/shared/active-tool-schema-warnings.ts	-
GENUINE	0	src/commands/status-overview-rows.ts	-
GENUINE	0	src/commands/status.command-report-data.ts	-
SAFE-NEW	0	src/commands/status.continuation-banner.test.ts	-
GENUINE	0	src/config/config.agent-concurrency-defaults.test.ts	-
MIXED-CLOBBER	1	src/config/sessions/artifacts.ts	?
GENUINE	0	src/config/sessions/entry-freshness.test.ts	-
GENUINE	0	src/config/sessions/session-accessor.ts	-
SAFE-NEW	0	src/config/sessions/store.continuation-merge.test.ts	-
MIXED-CLOBBER	2	src/config/sessions/types.ts	?
GENUINE	0	src/config/types.agent-defaults.ts	-
MIXED-CLOBBER	2	src/config/zod-schema.agent-defaults.ts	?
SAFE-NEW	0	src/config/zod-schema.continuation.test.ts	-
GENUINE	0	src/flows/doctor-core-checks.runtime.ts	-
GENUINE	0	src/gateway/config-reload.test.ts	-
SAFE-NEW	0	src/gateway/mcp-http.runtime.test.ts	-
MIXED-CLOBBER	1	src/gateway/mcp-http.runtime.ts	?
GENUINE	0	src/gateway/mcp-http.test.ts	-
GENUINE	0	src/gateway/server-methods/agent.test.ts	-
MIXED-CLOBBER	2	src/gateway/server-methods/agent.ts	?
GENUINE	0	src/gateway/server-methods/sessions.ts	-
MIXED-CLOBBER	2	src/gateway/server-restart-sentinel.ts	?
GENUINE	0	src/gateway/server-runtime-services.test.ts	-
GENUINE	0	src/gateway/server-runtime-services.ts	-
GENUINE	0	src/gateway/server.sessions.compaction.test.ts	-
MIXED-CLOBBER	2	src/gateway/session-compaction-checkpoints.ts	?
GENUINE	0	src/gateway/tool-resolution.test.ts	-
GENUINE	0	src/gateway/tool-resolution.ts	-
GENUINE	0	src/hooks/llm-slug-generator.ts	-
SAFE-NEW	0	src/infra/continuation-tracer.test.ts	-
SAFE-NEW	0	src/infra/continuation-tracer.ts	-
GENUINE	0	src/infra/diagnostic-events.ts	-
SAFE-NEW	0	src/infra/diagnostic-trace-context-pure.ts	-
GENUINE	0	src/infra/diagnostic-trace-context.test.ts	-
MIXED-CLOBBER	52	src/infra/diagnostic-trace-context.ts	?
MIXED-CLOBBER	1	src/infra/exec-authorization-render.ts	?
MIXED-CLOBBER	1	src/infra/heartbeat-reason.test.ts	?
MIXED-CLOBBER	1	src/infra/heartbeat-reason.ts	?
SAFE-NEW	0	src/infra/heartbeat-runner.delegate-return.test.ts	-
GENUINE	0	src/infra/heartbeat-runner.returns-default-unset.test.ts	-
MIXED-CLOBBER	11	src/infra/heartbeat-runner.ts	?
GENUINE	0	src/infra/heartbeat-wake.test.ts	-
MIXED-CLOBBER	2	src/infra/heartbeat-wake.ts	?
GENUINE	0	src/infra/http-body.response.test.ts	-
GENUINE	0	src/infra/http-body.ts	-
GENUINE	0	src/infra/outbound/message.ts	-
GENUINE	0	src/infra/restart-sentinel.ts	-
SAFE-NEW	0	src/infra/secure-random-chain-id.test.ts	-
GENUINE	0	src/infra/secure-random.ts	-
